,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,3.7497557999999955
1,python_sort,1,Ascending,5.200000003924288e-06
2,python_sort,1,Ascending,3.1999999947629476e-06
3,python_sort,1,Ascending,3.2999999959315574e-06
4,python_sort,1,Ascending,2.2999999984563146e-06
5,numpy_sort,1,Ascending,0.00048540000000230066
6,numpy_sort,1,Ascending,1.0600000003080368e-05
7,numpy_sort,1,Ascending,2.0000000020559128e-06
8,numpy_sort,1,Ascending,1.5999999973814738e-06
9,numpy_sort,1,Ascending,1.4000000021496817e-06
10,iterative_quicksort_shufffle,1,Ascending,0.8657870999999986
11,iterative_quicksort_shufffle,1,Ascending,5.000000001587068e-06
12,iterative_quicksort_shufffle,1,Ascending,1.0999999986438525e-06
13,iterative_quicksort_shufffle,1,Ascending,9.999999974752427e-07
14,iterative_quicksort_shufffle,1,Ascending,1.00000000458067e-06
15,mergesort,1,Ascending,0.5586427
16,mergesort,1,Ascending,2.099999996119095e-06
17,mergesort,1,Ascending,7.000000010748408e-07
18,mergesort,1,Ascending,7.000000010748408e-07
19,mergesort,1,Ascending,1.00000000458067e-06
20,mergesort_combined,1,Ascending,2.207582099999996
21,mergesort_combined,1,Ascending,2.8999999997836312e-05
22,mergesort_combined,1,Ascending,1.079999999831216e-05
23,mergesort_combined,1,Ascending,9.199999993825259e-06
24,mergesort_combined,1,Ascending,9.399999996162478e-06
25,python_sort,1,Descending,1.200000000523005e-05
26,python_sort,1,Descending,3.1999999947629476e-06
27,python_sort,1,Descending,2.3999999996249244e-06
28,python_sort,1,Descending,2.1000000032245225e-06
29,python_sort,1,Descending,2.8999999983625457e-06
30,numpy_sort,1,Descending,8.099999995181406e-06
31,numpy_sort,1,Descending,1.6999999985500835e-06
32,numpy_sort,1,Descending,1.5000000033182914e-06
33,numpy_sort,1,Descending,1.300000000981072e-06
34,numpy_sort,1,Descending,1.3999999950442543e-06
35,iterative_quicksort_shufffle,1,Descending,6.3999999966313226e-06
36,iterative_quicksort_shufffle,1,Descending,1.3999999950442543e-06
37,iterative_quicksort_shufffle,1,Descending,8.99999996306633e-07
38,iterative_quicksort_shufffle,1,Descending,1.1999999998124622e-06
39,iterative_quicksort_shufffle,1,Descending,9.000000034120603e-07
40,mergesort,1,Descending,1.529999999405618e-05
41,mergesort,1,Descending,2.500000000793534e-06
42,mergesort,1,Descending,2.1000000032245225e-06
43,mergesort,1,Descending,1.7999999997186933e-06
44,mergesort,1,Descending,1.900000000887303e-06
45,mergesort_combined,1,Descending,7.61000000011336e-05
46,mergesort_combined,1,Descending,2.0900000002654906e-05
47,mergesort_combined,1,Descending,1.8300000000692762e-05
48,mergesort_combined,1,Descending,1.780000000195514e-05
49,mergesort_combined,1,Descending,1.730000000321752e-05
50,python_sort,1,Random,1.1499999999387e-05
51,python_sort,1,Random,2.0000000020559128e-06
52,python_sort,1,Random,2.0000000020559128e-06
53,python_sort,1,Random,1.7999999997186933e-06
54,python_sort,1,Random,1.5999999973814738e-06
55,numpy_sort,1,Random,7.899999999949614e-06
56,numpy_sort,1,Random,1.7999999997186933e-06
57,numpy_sort,1,Random,1.300000000981072e-06
58,numpy_sort,1,Random,1.2999999938756446e-06
59,numpy_sort,1,Random,1.4000000021496817e-06
60,iterative_quicksort_shufffle,1,Random,1.2900000001536682e-05
61,iterative_quicksort_shufffle,1,Random,2.199999997287705e-06
62,iterative_quicksort_shufffle,1,Random,1.6999999985500835e-06
63,iterative_quicksort_shufffle,1,Random,1.7999999997186933e-06
64,iterative_quicksort_shufffle,1,Random,1.900000000887303e-06
65,mergesort,1,Random,8.300000004624053e-06
66,mergesort,1,Random,1.00000000458067e-06
67,mergesort,1,Random,7.000000010748408e-07
68,mergesort,1,Random,5.999999999062311e-07
69,mergesort,1,Random,7.999999951380232e-07
70,mergesort_combined,1,Random,4.299999999801685e-05
71,mergesort_combined,1,Random,1.1400000005323818e-05
72,mergesort_combined,1,Random,9.500000004436515e-06
73,mergesort_combined,1,Random,9.299999994993868e-06
74,mergesort_combined,1,Random,9.300000002099296e-06
75,python_sort,1,Structured,1.2099999999293232e-05
76,python_sort,1,Structured,2.0000000020559128e-06
77,python_sort,1,Structured,2.0000000020559128e-06
78,python_sort,1,Structured,1.7999999997186933e-06
79,python_sort,1,Structured,1.6999999985500835e-06
80,numpy_sort,1,Structured,7.500000002380602e-06
81,numpy_sort,1,Structured,1.6999999985500835e-06
82,numpy_sort,1,Structured,1.5000000033182914e-06
83,numpy_sort,1,Structured,1.4000000021496817e-06
84,numpy_sort,1,Structured,1.4000000021496817e-06
85,iterative_quicksort_shufffle,1,Structured,6.299999995462713e-06
86,iterative_quicksort_shufffle,1,Structured,1.1999999998124622e-06
87,iterative_quicksort_shufffle,1,Structured,9.000000034120603e-07
88,iterative_quicksort_shufffle,1,Structured,8.99999996306633e-07
89,iterative_quicksort_shufffle,1,Structured,9.000000034120603e-07
90,mergesort,1,Structured,3.7000000006059963e-06
91,mergesort,1,Structured,7.000000010748408e-07
92,mergesort,1,Structured,7.000000010748408e-07
93,mergesort,1,Structured,4.999999987376214e-07
94,mergesort,1,Structured,7.000000010748408e-07
95,mergesort_combined,1,Structured,4.419999999782931e-05
96,mergesort_combined,1,Structured,1.1200000002986599e-05
97,mergesort_combined,1,Structured,9.399999996162478e-06
98,mergesort_combined,1,Structured,9.099999999762076e-06
99,mergesort_combined,1,Structured,9.400000003267905e-06
100,python_sort,1,Integers,2.3571801000000008
101,python_sort,1,Integers,3.4000000042055945e-06
102,python_sort,1,Integers,1.6999999985500835e-06
103,python_sort,1,Integers,1.5999999973814738e-06
104,python_sort,1,Integers,1.6999999985500835e-06
105,numpy_sort,1,Integers,0.003374499999999614
106,numpy_sort,1,Integers,8.600000001024455e-06
107,numpy_sort,1,Integers,2.0000000020559128e-06
108,numpy_sort,1,Integers,1.5999999973814738e-06
109,numpy_sort,1,Integers,1.6999999985500835e-06
110,iterative_quicksort_shufffle,1,Integers,0.8345999000000006
111,iterative_quicksort_shufffle,1,Integers,2.3999999996249244e-06
112,iterative_quicksort_shufffle,1,Integers,1.1999999998124622e-06
113,iterative_quicksort_shufffle,1,Integers,9.999999974752427e-07
114,iterative_quicksort_shufffle,1,Integers,1.0999999986438525e-06
115,mergesort,1,Integers,0.5317572000000013
116,mergesort,1,Integers,1.900000000887303e-06
117,mergesort,1,Integers,7.000000010748408e-07
118,mergesort,1,Integers,5.999999999062311e-07
119,mergesort,1,Integers,7.000000010748408e-07
120,mergesort_combined,1,Integers,2.000786000000005
121,mergesort_combined,1,Integers,2.9800000000079763e-05
122,mergesort_combined,1,Integers,1.089999999948077e-05
123,mergesort_combined,1,Integers,9.300000002099296e-06
124,mergesort_combined,1,Integers,9.299999994993868e-06
125,python_sort,2,Ascending,1.1400000005323818e-05
126,python_sort,2,Ascending,2.300000005561742e-06
127,python_sort,2,Ascending,1.6999999985500835e-06
128,python_sort,2,Ascending,1.700000005655511e-06
129,python_sort,2,Ascending,1.6999999985500835e-06
130,numpy_sort,2,Ascending,8.399999998687235e-06
131,numpy_sort,2,Ascending,1.7999999997186933e-06
132,numpy_sort,2,Ascending,1.5000000033182914e-06
133,numpy_sort,2,Ascending,1.499999996212864e-06
134,numpy_sort,2,Ascending,1.300000000981072e-06
135,iterative_quicksort_shufffle,2,Ascending,6.2000000013995304e-06
136,iterative_quicksort_shufffle,2,Ascending,1.1999999998124622e-06
137,iterative_quicksort_shufffle,2,Ascending,1.0999999986438525e-06
138,iterative_quicksort_shufffle,2,Ascending,9.999999974752427e-07
139,iterative_quicksort_shufffle,2,Ascending,1.1999999998124622e-06
140,mergesort,2,Ascending,4.9000000004184585e-06
141,mergesort,2,Ascending,1.0999999986438525e-06
142,mergesort,2,Ascending,1.1999999998124622e-06
143,mergesort,2,Ascending,8.99999996306633e-07
144,mergesort,2,Ascending,1.0999999986438525e-06
145,mergesort_combined,2,Ascending,5.649999999945976e-05
146,mergesort_combined,2,Ascending,1.180000000289283e-05
147,mergesort_combined,2,Ascending,9.800000000836917e-06
148,mergesort_combined,2,Ascending,9.099999999762076e-06
149,mergesort_combined,2,Ascending,9.200000000930686e-06
150,python_sort,2,Descending,1.4099999994243717e-05
151,python_sort,2,Descending,2.8999999983625457e-06
152,python_sort,2,Descending,2.5999999948567165e-06
153,python_sort,2,Descending,2.500000000793534e-06
154,python_sort,2,Descending,2.600000001962144e-06
155,numpy_sort,2,Descending,1.1099999994712562e-05
156,numpy_sort,2,Descending,2.9999999995311555e-06
157,numpy_sort,2,Descending,2.5999999948567165e-06
158,numpy_sort,2,Descending,2.4000000067303517e-06
159,numpy_sort,2,Descending,1.0199999998405929e-05
160,iterative_quicksort_shufffle,2,Descending,7.499999995275175e-06
161,iterative_quicksort_shufffle,2,Descending,1.300000000981072e-06
162,iterative_quicksort_shufffle,2,Descending,1.1999999998124622e-06
163,iterative_quicksort_shufffle,2,Descending,1.1999999998124622e-06
164,iterative_quicksort_shufffle,2,Descending,1.4000000021496817e-06
165,mergesort,2,Descending,5.700000002661909e-06
166,mergesort,2,Descending,8.000000022434506e-07
167,mergesort,2,Descending,7.999999951380232e-07
168,mergesort,2,Descending,8.000000022434506e-07
169,mergesort,2,Descending,8.000000022434506e-07
170,mergesort_combined,2,Descending,7.250000000169621e-05
171,mergesort_combined,2,Descending,1.9999999999242846e-05
172,mergesort_combined,2,Descending,1.639999999980546e-05
173,mergesort_combined,2,Descending,1.619999999746824e-05
174,mergesort_combined,2,Descending,1.650000000097407e-05
175,python_sort,2,Random,1.6000000002236447e-05
176,python_sort,2,Random,3.200000001868375e-06
177,python_sort,2,Random,2.2999999984563146e-06
