,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,1.8400000001861372e-05
1,python_sort,1,Ascending,0.0008262999999999465
2,python_sort,1,Ascending,4.39999999457541e-06
3,python_sort,1,Ascending,2.6999999960253263e-06
4,python_sort,1,Ascending,2.6999999960253263e-06
5,numpy_sort,1,Ascending,0.0015053000000051497
6,numpy_sort,1,Ascending,7.30000000714881e-06
7,numpy_sort,1,Ascending,1.6999999985500835e-06
8,numpy_sort,1,Ascending,1.499999996212864e-06
9,numpy_sort,1,Ascending,1.399999987938827e-06
10,iterative_quicksort,1,Ascending,2.5957255999999944
11,iterative_quicksort,1,Ascending,3.1000000006997652e-06
12,iterative_quicksort,1,Ascending,1.099999991538425e-06
13,iterative_quicksort,1,Ascending,1.1999999998124622e-06
14,iterative_quicksort,1,Ascending,1.0000000116860974e-06
15,mergesort,1,Ascending,0.617102800000012
16,mergesort,1,Ascending,2.1000000032245225e-06
17,mergesort,1,Ascending,7.000000010748408e-07
18,mergesort,1,Ascending,6.000000070116585e-07
19,mergesort,1,Ascending,7.000000010748408e-07
20,mergesort_combined,1,Ascending,2.1298129999999986
21,mergesort_combined,1,Ascending,3.0199999997648774e-05
22,mergesort_combined,1,Ascending,1.100000000064938e-05
23,mergesort_combined,1,Ascending,9.700000006773735e-06
24,mergesort_combined,1,Ascending,9.800000000836917e-06
25,python_sort,1,Descending,8.800000003361674e-06
26,python_sort,1,Descending,2.1000000032245225e-06
27,python_sort,1,Descending,1.8000000068241206e-06
28,python_sort,1,Descending,1.499999996212864e-06
29,python_sort,1,Descending,1.3000000080864993e-06
30,numpy_sort,1,Descending,8.600000001024455e-06
31,numpy_sort,1,Descending,1.900000000887303e-06
32,numpy_sort,1,Descending,1.4000000021496817e-06
33,numpy_sort,1,Descending,1.2999999938756446e-06
34,numpy_sort,1,Descending,1.4000000021496817e-06
35,iterative_quicksort,1,Descending,6.600000006073969e-06
36,iterative_quicksort,1,Descending,1.499999996212864e-06
37,iterative_quicksort,1,Descending,1.0000000116860974e-06
38,iterative_quicksort,1,Descending,8.000000093488779e-07
39,iterative_quicksort,1,Descending,9.999999974752427e-07
40,mergesort,1,Descending,9.099999999762076e-06
41,mergesort,1,Descending,1.1000000057492798e-06
42,mergesort,1,Descending,7.999999951380232e-07
43,mergesort,1,Descending,8.000000093488779e-07
44,mergesort,1,Descending,8.999999892012056e-07
45,mergesort_combined,1,Descending,4.919999999231095e-05
46,mergesort_combined,1,Descending,1.2200000000461841e-05
47,mergesort_combined,1,Descending,1.0100000011448174e-05
48,mergesort_combined,1,Descending,9.799999986626062e-06
49,mergesort_combined,1,Descending,9.700000006773735e-06
50,python_sort,1,Random,1.9100000002936213e-05
51,python_sort,1,Random,4.599999996912629e-06
52,python_sort,1,Random,5.000000001587068e-06
53,python_sort,1,Random,3.1999999947629476e-06
54,python_sort,1,Random,3.1999999947629476e-06
55,numpy_sort,1,Random,2.9900000001248372e-05
56,numpy_sort,1,Random,4.200000006449045e-06
57,numpy_sort,1,Random,1.0000000003174137e-05
58,numpy_sort,1,Random,4.500000002849447e-06
59,numpy_sort,1,Random,3.400000011311022e-06
60,iterative_quicksort,1,Random,9.300000002099296e-06
61,iterative_quicksort,1,Random,1.799999992613266e-06
62,iterative_quicksort,1,Random,1.6000000044869012e-06
63,iterative_quicksort,1,Random,1.6000000044869012e-06
64,iterative_quicksort,1,Random,9.999999974752427e-07
65,mergesort,1,Random,1.2100000006398659e-05
66,mergesort,1,Random,2.099999989013668e-06
67,mergesort,1,Random,1.8000000068241206e-06
68,mergesort,1,Random,1.900000000887303e-06
69,mergesort,1,Random,1.3000000080864993e-06
70,mergesort_combined,1,Random,0.00011019999999462016
71,mergesort_combined,1,Random,2.5499999992462108e-05
72,mergesort_combined,1,Random,1.1499999999387e-05
73,mergesort_combined,1,Random,1.079999999831216e-05
74,mergesort_combined,1,Random,1.1600000007661038e-05
75,python_sort,1,Structured,1.1100000008923416e-05
76,python_sort,1,Structured,3.1999999947629476e-06
77,python_sort,1,Structured,2.3999999996249244e-06
78,python_sort,1,Structured,2.1000000032245225e-06
79,python_sort,1,Structured,2.1000000032245225e-06
80,numpy_sort,1,Structured,9.300000002099296e-06
81,numpy_sort,1,Structured,1.8999999866764483e-06
82,numpy_sort,1,Structured,1.4000000021496817e-06
83,numpy_sort,1,Structured,1.2999999938756446e-06
84,numpy_sort,1,Structured,1.4000000021496817e-06
85,iterative_quicksort,1,Structured,6.999999996537554e-06
86,iterative_quicksort,1,Structured,1.1999999998124622e-06
87,iterative_quicksort,1,Structured,9.000000034120603e-07
88,iterative_quicksort,1,Structured,1.1999999998124622e-06
89,iterative_quicksort,1,Structured,1.6000000044869012e-06
90,mergesort,1,Structured,4.39999999457541e-06
91,mergesort,1,Structured,8.999999892012056e-07
92,mergesort,1,Structured,9.000000034120603e-07
93,mergesort,1,Structured,1.1000000057492798e-06
94,mergesort,1,Structured,1.1999999998124622e-06
95,mergesort_combined,1,Structured,4.050000001143417e-05
96,mergesort_combined,1,Structured,1.2799999993262645e-05
97,mergesort_combined,1,Structured,1.0200000005511356e-05
98,mergesort_combined,1,Structured,9.8999999949001e-06
99,mergesort_combined,1,Structured,9.799999986626062e-06
100,python_sort,1,Integers,7.400000001211993e-06
101,python_sort,1,Integers,2.00000000916134e-06
102,python_sort,1,Integers,1.5999999902760464e-06
103,python_sort,1,Integers,1.4000000021496817e-06
104,python_sort,1,Integers,1.2999999938756446e-06
105,numpy_sort,1,Integers,0.00036710000000539367
106,numpy_sort,1,Integers,3.699999993500569e-06
107,numpy_sort,1,Integers,1.499999996212864e-06
108,numpy_sort,1,Integers,1.2999999938756446e-06
109,numpy_sort,1,Integers,1.2999999938756446e-06
110,iterative_quicksort,1,Integers,0.6741884000000056
111,iterative_quicksort,1,Integers,2.6999999960253263e-06
