,Algorithm,2^N,TypeArray,Time
0,bubble_sort,1,Ascending,7.500000037907739e-06
1,bubble_sort,1,Ascending,1.9999999949504854e-06
2,bubble_sort,1,Ascending,1.599999961854337e-06
3,bubble_sort,1,Ascending,1.4000000305713911e-06
4,bubble_sort,1,Ascending,1.3000000080864993e-06
5,insertion_sort,1,Ascending,4.499999988638592e-06
6,insertion_sort,1,Ascending,1.599999961854337e-06
7,insertion_sort,1,Ascending,1.3000000080864993e-06
8,insertion_sort,1,Ascending,1.2000000424450263e-06
9,insertion_sort,1,Ascending,1.3000000080864993e-06
10,quicksort,1,Ascending,1.099999997222767e-05
11,quicksort,1,Ascending,4.100000012385863e-06
12,quicksort,1,Ascending,3.900000024259498e-06
13,quicksort,1,Ascending,3.6000000136482413e-06
14,quicksort,1,Ascending,3.4999999911633495e-06
15,mergesort,1,Ascending,1.0099999997237319e-05
16,mergesort,1,Ascending,4.499999988638592e-06
17,mergesort,1,Ascending,4.099999955542444e-06
18,mergesort,1,Ascending,3.800000001774606e-06
19,mergesort,1,Ascending,3.700000036133133e-06
20,mergesort_combined,1,Ascending,6.199999972977821e-06
21,mergesort_combined,1,Ascending,1.9000000293090125e-06
22,mergesort_combined,1,Ascending,1.6000000186977559e-06
23,mergesort_combined,1,Ascending,1.499999996212864e-06
24,mergesort_combined,1,Ascending,1.599999961854337e-06
25,bubble_sort,1,Descending,6.699999971715442e-06
26,bubble_sort,1,Descending,2.399999971203215e-06
27,bubble_sort,1,Descending,1.8000000068241206e-06
28,bubble_sort,1,Descending,1.7999999499807018e-06
29,bubble_sort,1,Descending,1.8000000068241206e-06
30,insertion_sort,1,Descending,5.199999975502578e-06
31,insertion_sort,1,Descending,1.8999999724655936e-06
32,insertion_sort,1,Descending,1.499999996212864e-06
33,insertion_sort,1,Descending,1.499999996212864e-06
34,insertion_sort,1,Descending,1.3999999737279722e-06
35,quicksort,1,Descending,7.699999969190685e-06
36,quicksort,1,Descending,2.7999999474559445e-06
37,quicksort,1,Descending,2.1000000174353772e-06
38,quicksort,1,Descending,1.9999999949504854e-06
39,quicksort,1,Descending,1.9999999949504854e-06
40,mergesort,1,Descending,7.799999991675577e-06
41,mergesort,1,Descending,3.5999999568048224e-06
42,mergesort,1,Descending,3.10000001491062e-06
43,mergesort,1,Descending,2.8999999699408363e-06
44,mergesort,1,Descending,2.999999992425728e-06
45,mergesort_combined,1,Descending,4.699999976764957e-06
46,mergesort_combined,1,Descending,2.200000039920269e-06
47,mergesort_combined,1,Descending,1.8000000068241206e-06
48,mergesort_combined,1,Descending,1.8000000068241206e-06
49,mergesort_combined,1,Descending,1.7999999499807018e-06
50,bubble_sort,1,Random,5.499999986113835e-06
