,Algorithm,2^N,TypeArray,Time
0,bubble_sort,1,Ascending,0.19166889999996783
1,bubble_sort,1,Ascending,1.8000000636675395e-06
2,bubble_sort,1,Ascending,6.999998731771484e-07
3,bubble_sort,1,Ascending,6.000000212225132e-07
4,bubble_sort,1,Ascending,4.999999418942025e-07
5,insertion_sort,1,Ascending,5.80000005356851e-06
6,insertion_sort,1,Ascending,7.000001005508238e-07
7,insertion_sort,1,Ascending,6.000000212225132e-07
8,insertion_sort,1,Ascending,6.000000212225132e-07
9,insertion_sort,1,Ascending,6.000000212225132e-07
10,bubble_sort,1,Descending,5.8999999055231456e-06
11,bubble_sort,1,Descending,7.000001005508238e-07
12,bubble_sort,1,Descending,6.999998731771484e-07
13,bubble_sort,1,Descending,7.000001005508238e-07
14,bubble_sort,1,Descending,6.000000212225132e-07
15,insertion_sort,1,Descending,3.89999991057266e-06
16,insertion_sort,1,Descending,7.999999525054591e-07
17,insertion_sort,1,Descending,6.000000212225132e-07
18,insertion_sort,1,Descending,6.000000212225132e-07
19,insertion_sort,1,Descending,4.999999418942025e-07
20,bubble_sort,1,Random,0.1341959000001225
21,bubble_sort,1,Random,2.1999999262334313e-06
22,bubble_sort,1,Random,6.999998731771484e-07
23,bubble_sort,1,Random,4.999999418942025e-07
24,bubble_sort,1,Random,6.000000212225132e-07
25,insertion_sort,1,Random,5.000000101063051e-06
26,insertion_sort,1,Random,6.999998731771484e-07
27,insertion_sort,1,Random,6.000000212225132e-07
28,insertion_sort,1,Random,4.999999418942025e-07
29,insertion_sort,1,Random,5.999997938488377e-07
30,bubble_sort,1,Structured,7.100000175341847e-06
31,bubble_sort,1,Structured,9.000000318337698e-07
32,bubble_sort,1,Structured,7.000001005508238e-07
33,bubble_sort,1,Structured,6.000000212225132e-07
34,bubble_sort,1,Structured,7.000001005508238e-07
35,insertion_sort,1,Structured,6.200000143508078e-06
36,insertion_sort,1,Structured,9.000000318337698e-07
37,insertion_sort,1,Structured,7.000001005508238e-07
38,insertion_sort,1,Structured,7.000001005508238e-07
39,insertion_sort,1,Structured,1.0000001111620804e-06
40,bubble_sort,1,Integers,0.13496409999993375
41,bubble_sort,1,Integers,1.9999999949504854e-06
42,bubble_sort,1,Integers,6.000000212225132e-07
43,bubble_sort,1,Integers,6.000000212225132e-07
44,bubble_sort,1,Integers,5.000001692678779e-07
45,insertion_sort,1,Integers,5.0999999530176865e-06
46,insertion_sort,1,Integers,7.000001005508238e-07
47,insertion_sort,1,Integers,6.000000212225132e-07
48,insertion_sort,1,Integers,5.000001692678779e-07
49,insertion_sort,1,Integers,6.000000212225132e-07
50,bubble_sort,2,Ascending,8.399999842367833e-06
51,bubble_sort,2,Ascending,1.5999999050109182e-06
52,bubble_sort,2,Ascending,1.0999999631167157e-06
53,bubble_sort,2,Ascending,8.999998044600943e-07
54,bubble_sort,2,Ascending,1.0999999631167157e-06
55,insertion_sort,2,Ascending,5.6000001222855644e-06
56,insertion_sort,2,Ascending,9.000000318337698e-07
57,insertion_sort,2,Ascending,6.999998731771484e-07
58,insertion_sort,2,Ascending,6.000000212225132e-07
59,insertion_sort,2,Ascending,6.000000212225132e-07
60,bubble_sort,2,Descending,6.199999916134402e-06
