,Algorithm,2^N,TypeArray,Time
0,bubble_sort,1,Ascending,0.28841839999999985
1,bubble_sort,1,Ascending,1.9999999998354667e-06
2,bubble_sort,1,Ascending,5.999999999062311e-07
3,bubble_sort,1,Ascending,5.999999999062311e-07
4,bubble_sort,1,Ascending,5.00000000069889e-07
5,insertion_sort,1,Ascending,0.1137712999999998
6,insertion_sort,1,Ascending,2.19999999995224e-06
7,insertion_sort,1,Ascending,5.999999999062311e-07
8,insertion_sort,1,Ascending,5.999999999062311e-07
9,insertion_sort,1,Ascending,5.999999999062311e-07
10,bubble_sort,1,Descending,6.5999999998567205e-06
11,bubble_sort,1,Descending,9.000000003034359e-07
12,bubble_sort,1,Descending,5.999999999062311e-07
13,bubble_sort,1,Descending,5.999999999062311e-07
14,bubble_sort,1,Descending,5.00000000069889e-07
15,insertion_sort,1,Descending,3.7999999999982492e-06
16,insertion_sort,1,Descending,6.000000003503203e-07
17,insertion_sort,1,Descending,5.999999999062311e-07
18,insertion_sort,1,Descending,5.00000000069889e-07
19,insertion_sort,1,Descending,5.00000000069889e-07
20,bubble_sort,1,Random,6.500000000020378e-06
21,bubble_sort,1,Random,8.000000000230045e-07
22,bubble_sort,1,Random,5.999999999062311e-07
23,bubble_sort,1,Random,6.999999997425732e-07
24,bubble_sort,1,Random,5.999999999062311e-07
25,insertion_sort,1,Random,3.7999999999982492e-06
26,insertion_sort,1,Random,7.000000001866624e-07
27,insertion_sort,1,Random,5.00000000069889e-07
28,insertion_sort,1,Random,5.999999999062311e-07
29,insertion_sort,1,Random,6.000000003503203e-07
30,bubble_sort,1,Structured,6.200000000067263e-06
31,bubble_sort,1,Structured,8.999999998593466e-07
32,bubble_sort,1,Structured,5.999999999062311e-07
33,bubble_sort,1,Structured,5.999999999062311e-07
34,bubble_sort,1,Structured,5.999999999062311e-07
35,insertion_sort,1,Structured,3.5999999998814758e-06
36,insertion_sort,1,Structured,6.999999997425732e-07
37,insertion_sort,1,Structured,5.999999999062311e-07
38,insertion_sort,1,Structured,6.000000003503203e-07
39,insertion_sort,1,Structured,5.00000000069889e-07
40,bubble_sort,1,Integers,0.13540969999999986
41,bubble_sort,1,Integers,1.9999999998354667e-06
42,bubble_sort,1,Integers,6.999999997425732e-07
43,bubble_sort,1,Integers,7.000000001866624e-07
44,bubble_sort,1,Integers,5.999999999062311e-07
45,insertion_sort,1,Integers,0.1077284999999999
46,insertion_sort,1,Integers,2.4000000000690136e-06
47,insertion_sort,1,Integers,5.999999999062311e-07
48,insertion_sort,1,Integers,5.00000000069889e-07
49,insertion_sort,1,Integers,5.999999999062311e-07
50,bubble_sort,2,Ascending,5.900000000114147e-06
51,bubble_sort,2,Ascending,8.000000000230045e-07
52,bubble_sort,2,Ascending,5.999999999062311e-07
53,bubble_sort,2,Ascending,5.999999999062311e-07
54,bubble_sort,2,Ascending,5.999999999062311e-07
55,insertion_sort,2,Ascending,4.4000000003485695e-06
56,insertion_sort,2,Ascending,1.1999999998124622e-06
57,insertion_sort,2,Ascending,8.999999998593466e-07
58,insertion_sort,2,Ascending,9.000000003034359e-07
59,insertion_sort,2,Ascending,9.999999996956888e-07
60,bubble_sort,2,Descending,9.200000000042508e-06
61,bubble_sort,2,Descending,8.999999998593466e-07
62,bubble_sort,2,Descending,8.000000000230045e-07
63,bubble_sort,2,Descending,7.000000001866624e-07
64,bubble_sort,2,Descending,4.099999999951365e-06
65,insertion_sort,2,Descending,8.299999999739072e-06
66,insertion_sort,2,Descending,1.3000000000928935e-06
67,insertion_sort,2,Descending,1.09999999997612e-06
68,insertion_sort,2,Descending,1.09999999997612e-06
69,insertion_sort,2,Descending,1.2000000002565514e-06
70,bubble_sort,2,Random,9.100000000206165e-06
71,bubble_sort,2,Random,1.500000000209667e-06
72,bubble_sort,2,Random,9.999999996956888e-07
73,bubble_sort,2,Random,6.999999997425732e-07
74,bubble_sort,2,Random,6.999999997425732e-07
75,insertion_sort,2,Random,8.500000000299934e-06
76,insertion_sort,2,Random,1.3000000000928935e-06
77,insertion_sort,2,Random,1.500000000209667e-06
78,insertion_sort,2,Random,1.2000000002565514e-06
79,insertion_sort,2,Random,5.999999999062311e-07
80,bubble_sort,2,Structured,7.69999999983284e-06
81,bubble_sort,2,Structured,8.000000000230045e-07
82,bubble_sort,2,Structured,7.000000001866624e-07
83,bubble_sort,2,Structured,6.999999997425732e-07
84,bubble_sort,2,Structured,5.999999999062311e-07
85,insertion_sort,2,Structured,4.299999999624049e-06
86,insertion_sort,2,Structured,6.999999997425732e-07
87,insertion_sort,2,Structured,5.999999999062311e-07
88,insertion_sort,2,Structured,5.999999999062311e-07
89,insertion_sort,2,Structured,5.999999999062311e-07
90,bubble_sort,2,Integers,6.200000000067263e-06
91,bubble_sort,2,Integers,8.999999998593466e-07
92,bubble_sort,2,Integers,5.999999999062311e-07
93,bubble_sort,2,Integers,5.999999999062311e-07
94,bubble_sort,2,Integers,4.999999996257998e-07
95,insertion_sort,2,Integers,4.099999999951365e-06
96,insertion_sort,2,Integers,6.999999997425732e-07
97,insertion_sort,2,Integers,5.999999999062311e-07
98,insertion_sort,2,Integers,5.999999999062311e-07
99,insertion_sort,2,Integers,5.999999999062311e-07
100,bubble_sort,3,Ascending,7.0999999999266095e-06
