,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,4.438657000000006
1,python_sort,1,Ascending,7.300000000043383e-06
2,python_sort,1,Ascending,3.499999998268777e-06
3,python_sort,1,Ascending,2.199999997287705e-06
4,python_sort,1,Ascending,2.3999999996249244e-06
5,numpy_sort,1,Ascending,0.0003888999999972498
6,numpy_sort,1,Ascending,8.299999997518626e-06
7,numpy_sort,1,Ascending,3.1999999947629476e-06
8,numpy_sort,1,Ascending,1.3999999950442543e-06
9,numpy_sort,1,Ascending,4.199999999343618e-06
10,iterative_quicksort_shufffle,1,Ascending,0.9780796000000009
11,iterative_quicksort_shufffle,1,Ascending,4.199999999343618e-06
12,iterative_quicksort_shufffle,1,Ascending,1.4000000021496817e-06
13,iterative_quicksort_shufffle,1,Ascending,1.0999999986438525e-06
14,iterative_quicksort_shufffle,1,Ascending,1.0999999986438525e-06
15,mergesort,1,Ascending,0.5237900999999994
16,mergesort,1,Ascending,2.2999999984563146e-06
17,mergesort,1,Ascending,7.999999951380232e-07
18,mergesort,1,Ascending,7.000000010748408e-07
19,mergesort,1,Ascending,7.000000010748408e-07
20,mergesort_combined,1,Ascending,2.631679499999997
21,mergesort_combined,1,Ascending,3.1599999999798456e-05
22,mergesort_combined,1,Ascending,1.100000000064938e-05
23,mergesort_combined,1,Ascending,9.900000002005527e-06
24,mergesort_combined,1,Ascending,9.900000002005527e-06
25,python_sort,1,Descending,1.3099999996768474e-05
26,python_sort,1,Descending,3.4000000042055945e-06
27,python_sort,1,Descending,2.5999999948567165e-06
28,python_sort,1,Descending,2.3999999996249244e-06
29,python_sort,1,Descending,2.600000001962144e-06
30,numpy_sort,1,Descending,9.699999999668307e-06
31,numpy_sort,1,Descending,1.900000000887303e-06
32,numpy_sort,1,Descending,1.5000000033182914e-06
33,numpy_sort,1,Descending,1.5999999973814738e-06
34,numpy_sort,1,Descending,1.4000000021496817e-06
35,iterative_quicksort_shufffle,1,Descending,7.899999999949614e-06
36,iterative_quicksort_shufffle,1,Descending,1.300000000981072e-06
37,iterative_quicksort_shufffle,1,Descending,1.00000000458067e-06
38,iterative_quicksort_shufffle,1,Descending,1.00000000458067e-06
39,iterative_quicksort_shufffle,1,Descending,1.00000000458067e-06
40,mergesort,1,Descending,7.799999998781004e-06
41,mergesort,1,Descending,1.1000000057492798e-06
42,mergesort,1,Descending,8.000000022434506e-07
43,mergesort,1,Descending,8.000000022434506e-07
44,mergesort,1,Descending,8.000000022434506e-07
45,mergesort_combined,1,Descending,4.00999999996543e-05
46,mergesort_combined,1,Descending,1.1799999995787402e-05
47,mergesort_combined,1,Descending,9.8999999949001e-06
48,mergesort_combined,1,Descending,9.500000004436515e-06
49,mergesort_combined,1,Descending,9.499999997331088e-06
50,python_sort,1,Random,1.4100000001349144e-05
51,python_sort,1,Random,4.099999998175008e-06
52,python_sort,1,Random,8.000000001118224e-06
53,python_sort,1,Random,3.500000005374204e-06
54,python_sort,1,Random,2.9999999995311555e-06
55,numpy_sort,1,Random,1.0299999999574538e-05
56,numpy_sort,1,Random,3.4000000042055945e-06
57,numpy_sort,1,Random,2.8000000042993634e-06
58,numpy_sort,1,Random,2.9999999995311555e-06
59,numpy_sort,1,Random,2.900000005467973e-06
60,iterative_quicksort_shufffle,1,Random,9.099999999762076e-06
61,iterative_quicksort_shufffle,1,Random,1.5999999973814738e-06
62,iterative_quicksort_shufffle,1,Random,1.1000000057492798e-06
63,iterative_quicksort_shufffle,1,Random,1.1000000057492798e-06
64,iterative_quicksort_shufffle,1,Random,1.1999999998124622e-06
65,mergesort,1,Random,5.100000002755678e-06
66,mergesort,1,Random,7.999999951380232e-07
67,mergesort,1,Random,8.000000022434506e-07
68,mergesort,1,Random,7.000000010748408e-07
69,mergesort,1,Random,7.999999951380232e-07
70,mergesort_combined,1,Random,4.090000000189775e-05
71,mergesort_combined,1,Random,1.1899999996956012e-05
72,mergesort_combined,1,Random,9.800000000836917e-06
73,mergesort_combined,1,Random,9.699999999668307e-06
74,mergesort_combined,1,Random,9.399999996162478e-06
75,python_sort,1,Structured,1.4900000003592595e-05
76,python_sort,1,Structured,5.000000001587068e-06
77,python_sort,1,Structured,4.600000004018057e-06
78,python_sort,1,Structured,4.500000002849447e-06
79,python_sort,1,Structured,4.699999998081239e-06
80,numpy_sort,1,Structured,1.0100000004342746e-05
81,numpy_sort,1,Structured,1.900000000887303e-06
82,numpy_sort,1,Structured,1.499999996212864e-06
83,numpy_sort,1,Structured,1.300000000981072e-06
84,numpy_sort,1,Structured,1.7999999997186933e-06
85,iterative_quicksort_shufffle,1,Structured,9.299999994993868e-06
86,iterative_quicksort_shufffle,1,Structured,1.5999999973814738e-06
87,iterative_quicksort_shufffle,1,Structured,1.0999999986438525e-06
88,iterative_quicksort_shufffle,1,Structured,1.300000000981072e-06
89,iterative_quicksort_shufffle,1,Structured,1.00000000458067e-06
90,mergesort,1,Structured,3.800000001774606e-06
91,mergesort,1,Structured,8.000000022434506e-07
92,mergesort,1,Structured,7.000000010748408e-07
93,mergesort,1,Structured,7.999999951380232e-07
94,mergesort,1,Structured,8.000000022434506e-07
95,mergesort_combined,1,Structured,4.669999999862284e-05
96,mergesort_combined,1,Structured,1.539999999522479e-05
97,mergesort_combined,1,Structured,1.1100000001817989e-05
98,mergesort_combined,1,Structured,1.250000000396767e-05
99,mergesort_combined,1,Structured,1.0500000001911758e-05
100,python_sort,1,Integers,2.7528209000000032
101,python_sort,1,Integers,5.099999995650251e-06
102,python_sort,1,Integers,2.5999999948567165e-06
103,python_sort,1,Integers,2.5999999948567165e-06
104,python_sort,1,Integers,2.199999997287705e-06
105,numpy_sort,1,Integers,0.0004118999999960238
106,numpy_sort,1,Integers,5.699999995556482e-06
107,numpy_sort,1,Integers,1.6999999985500835e-06
108,numpy_sort,1,Integers,1.4000000021496817e-06
109,numpy_sort,1,Integers,1.2999999938756446e-06
110,iterative_quicksort_shufffle,1,Integers,0.9263064000000014
111,iterative_quicksort_shufffle,1,Integers,3.399999997100167e-06
