,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,2.4560823
1,python_sort,1,Ascending,3.5000000000451337e-06
2,python_sort,1,Ascending,1.8999999999991246e-06
3,python_sort,1,Ascending,1.8000000006068717e-06
4,python_sort,1,Ascending,1.699999999438262e-06
5,numpy_sort,1,Ascending,0.000623200000000601
6,numpy_sort,1,Ascending,1.2299999999854094e-05
7,numpy_sort,1,Ascending,2.000000000279556e-06
8,numpy_sort,1,Ascending,1.5000000006537562e-06
9,numpy_sort,1,Ascending,1.3999999994851464e-06
10,iterative_quicksort_shufffle,1,Ascending,0.7596300999999999
11,iterative_quicksort_shufffle,1,Ascending,4.200000000231796e-06
12,iterative_quicksort_shufffle,1,Ascending,1.0999999995320309e-06
13,iterative_quicksort_shufffle,1,Ascending,9.000000007475251e-07
14,iterative_quicksort_shufffle,1,Ascending,8.999999998593466e-07
15,iterative_quicksort,1,Ascending,0.10302809999999951
16,iterative_quicksort,1,Ascending,2.600000000185787e-06
17,iterative_quicksort,1,Ascending,1.000000000139778e-06
18,iterative_quicksort,1,Ascending,8.999999998593466e-07
19,iterative_quicksort,1,Ascending,1.000000000139778e-06
20,mergesort,1,Ascending,0.4453281999999996
21,mergesort,1,Ascending,2.600000000185787e-06
22,mergesort,1,Ascending,6.99999999298484e-07
23,mergesort,1,Ascending,5.999999999062311e-07
24,mergesort,1,Ascending,7.000000001866624e-07
25,mergesort_combined,1,Ascending,2.0117649
26,mergesort_combined,1,Ascending,2.8899999999332238e-05
27,mergesort_combined,1,Ascending,1.0699999999808085e-05
28,mergesort_combined,1,Ascending,9.699999999668307e-06
29,mergesort_combined,1,Ascending,9.40000000060337e-06
30,python_sort,1,Descending,1.0500000000135401e-05
31,python_sort,1,Descending,2.3000000002326715e-06
32,python_sort,1,Descending,1.7999999997186933e-06
33,python_sort,1,Descending,1.7000000003264404e-06
34,python_sort,1,Descending,1.7000000003264404e-06
35,numpy_sort,1,Descending,1.7300000001441163e-05
36,numpy_sort,1,Descending,1.999999998503199e-06
37,numpy_sort,1,Descending,1.5000000015419346e-06
38,numpy_sort,1,Descending,1.4999999997655777e-06
39,numpy_sort,1,Descending,1.4999999997655777e-06
40,iterative_quicksort_shufffle,1,Descending,1.3399999998497947e-05
41,iterative_quicksort_shufffle,1,Descending,2.799999998970293e-06
42,iterative_quicksort_shufffle,1,Descending,1.4999999997655777e-06
43,iterative_quicksort_shufffle,1,Descending,1.8999999991109462e-06
44,iterative_quicksort_shufffle,1,Descending,2.2999999984563146e-06
45,iterative_quicksort,1,Descending,1.3100000000321188e-05
46,iterative_quicksort,1,Descending,3.1000000006997652e-06
47,iterative_quicksort,1,Descending,2.4999999990171773e-06
48,iterative_quicksort,1,Descending,2.4999999990171773e-06
49,iterative_quicksort,1,Descending,2.600000000185787e-06
50,mergesort,1,Descending,9.600000000276054e-06
51,mergesort,1,Descending,8.000000004670937e-07
52,mergesort,1,Descending,1.299999999204715e-06
