,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,4.137744599999991
1,python_sort,1,Ascending,5.100000009861105e-06
2,python_sort,1,Ascending,1.9999999949504854e-06
3,python_sort,1,Ascending,1.6999999843392288e-06
4,python_sort,1,Ascending,1.499999996212864e-06
5,numpy_sort,1,Ascending,0.0006520000000023174
6,numpy_sort,1,Ascending,5.700000002661909e-06
7,numpy_sort,1,Ascending,1.8000000068241206e-06
8,numpy_sort,1,Ascending,1.499999996212864e-06
9,numpy_sort,1,Ascending,1.4000000021496817e-06
10,iterative_quicksort_shufffle,1,Ascending,0.8855785000000083
11,iterative_quicksort_shufffle,1,Ascending,3.8999999958377884e-06
12,iterative_quicksort_shufffle,1,Ascending,1.1999999856016075e-06
13,iterative_quicksort_shufffle,1,Ascending,9.999999974752427e-07
14,iterative_quicksort_shufffle,1,Ascending,9.999999974752427e-07
15,mergesort,1,Ascending,0.5090355999999758
16,mergesort,1,Ascending,2.6999999818144715e-06
17,mergesort,1,Ascending,9.000000034120603e-07
18,mergesort,1,Ascending,7.999999809271685e-07
19,mergesort,1,Ascending,9.000000034120603e-07
20,mergesort_combined,1,Ascending,2.199464199999994
21,mergesort_combined,1,Ascending,2.9400000016721606e-05
22,mergesort_combined,1,Ascending,1.0699999990038123e-05
23,mergesort_combined,1,Ascending,9.900000009110954e-06
24,mergesort_combined,1,Ascending,9.599999998499698e-06
25,python_sort,1,Descending,1.100000000064938e-05
26,python_sort,1,Descending,2.2000000114985596e-06
27,python_sort,1,Descending,2.099999989013668e-06
28,python_sort,1,Descending,1.5999999902760464e-06
29,python_sort,1,Descending,1.8000000068241206e-06
30,numpy_sort,1,Descending,8.299999990413198e-06
31,numpy_sort,1,Descending,2.099999989013668e-06
32,numpy_sort,1,Descending,1.499999996212864e-06
33,numpy_sort,1,Descending,1.3000000080864993e-06
34,numpy_sort,1,Descending,1.5999999902760464e-06
35,iterative_quicksort_shufffle,1,Descending,8.39999998447638e-06
36,iterative_quicksort_shufffle,1,Descending,1.2999999796647899e-06
37,iterative_quicksort_shufffle,1,Descending,1.099999991538425e-06
38,iterative_quicksort_shufffle,1,Descending,9.999999974752427e-07
39,iterative_quicksort_shufffle,1,Descending,9.999999974752427e-07
40,mergesort,1,Descending,1.1499999999387e-05
41,mergesort,1,Descending,1.2999999796647899e-06
42,mergesort,1,Descending,1.4000000021496817e-06
43,mergesort,1,Descending,1.099999991538425e-06
44,mergesort,1,Descending,1.200000014023317e-06
45,mergesort_combined,1,Descending,0.0001208000000190168
46,mergesort_combined,1,Descending,3.5499999995636244e-05
47,mergesort_combined,1,Descending,2.99999999811007e-05
48,mergesort_combined,1,Descending,2.779999999802385e-05
49,mergesort_combined,1,Descending,2.7200000005223046e-05
50,python_sort,1,Random,1.7099999979564018e-05
51,python_sort,1,Random,3.8999999958377884e-06
52,python_sort,1,Random,3.2000000089738023e-06
53,python_sort,1,Random,7.000000010748408e-06
54,python_sort,1,Random,2.999999992425728e-06
55,numpy_sort,1,Random,1.4399999997749546e-05
56,numpy_sort,1,Random,1.9999999949504854e-06
57,numpy_sort,1,Random,1.5999999902760464e-06
58,numpy_sort,1,Random,1.6000000186977559e-06
59,numpy_sort,1,Random,1.6000000186977559e-06
60,iterative_quicksort_shufffle,1,Random,1.679999999737447e-05
61,iterative_quicksort_shufffle,1,Random,2.8000000042993634e-06
62,iterative_quicksort_shufffle,1,Random,2.6000000161729986e-06
63,iterative_quicksort_shufffle,1,Random,2.2000000114985596e-06
64,iterative_quicksort_shufffle,1,Random,1.9999999949504854e-06
65,mergesort,1,Random,6.700000000137152e-06
66,mergesort,1,Random,9.999999974752427e-07
67,mergesort,1,Random,7.000000152856956e-07
68,mergesort,1,Random,6.000000212225132e-07
69,mergesort,1,Random,8.000000093488779e-07
70,mergesort_combined,1,Random,8.650000000898217e-05
71,mergesort_combined,1,Random,1.6399999992700032e-05
72,mergesort_combined,1,Random,1.0799999984101305e-05
73,mergesort_combined,1,Random,9.800000015047772e-06
74,mergesort_combined,1,Random,1.059999999597494e-05
75,python_sort,1,Structured,1.5100000013035242e-05
76,python_sort,1,Structured,2.2999999771400326e-06
77,python_sort,1,Structured,1.8000000068241206e-06
78,python_sort,1,Structured,1.9999999949504854e-06
79,python_sort,1,Structured,1.9999999949504854e-06
80,numpy_sort,1,Structured,1.1100000023134271e-05
81,numpy_sort,1,Structured,1.900000000887303e-06
82,numpy_sort,1,Structured,1.4000000021496817e-06
83,numpy_sort,1,Structured,1.5999999902760464e-06
84,numpy_sort,1,Structured,1.499999996212864e-06
85,iterative_quicksort_shufffle,1,Structured,8.79999998915082e-06
86,iterative_quicksort_shufffle,1,Structured,1.4000000021496817e-06
87,iterative_quicksort_shufffle,1,Structured,1.099999991538425e-06
88,iterative_quicksort_shufffle,1,Structured,1.099999991538425e-06
89,iterative_quicksort_shufffle,1,Structured,9.000000034120603e-07
90,mergesort,1,Structured,3.8999999958377884e-06
91,mergesort,1,Structured,6.999999868639861e-07
92,mergesort,1,Structured,5.999999928008037e-07
93,mergesort,1,Structured,5.999999928008037e-07
94,mergesort,1,Structured,7.999999809271685e-07
95,mergesort_combined,1,Structured,4.199999997922532e-05
96,mergesort_combined,1,Structured,1.1299999982838926e-05
97,mergesort_combined,1,Structured,9.799999986626062e-06
98,mergesort_combined,1,Structured,9.599999998499698e-06
99,mergesort_combined,1,Structured,9.399999981951623e-06
100,python_sort,1,Integers,2.3328236000000118
101,python_sort,1,Integers,3.199999980552093e-06
102,python_sort,1,Integers,1.9999999949504854e-06
103,python_sort,1,Integers,1.7000000127609383e-06
104,python_sort,1,Integers,1.6000000186977559e-06
105,numpy_sort,1,Integers,0.007719499999979007
106,numpy_sort,1,Integers,1.100000000064938e-05
107,numpy_sort,1,Integers,1.6999999843392288e-06
108,numpy_sort,1,Integers,1.5999999902760464e-06
109,numpy_sort,1,Integers,1.499999996212864e-06
110,iterative_quicksort_shufffle,1,Integers,0.8028587000000016
111,iterative_quicksort_shufffle,1,Integers,4.300000000512227e-06
112,iterative_quicksort_shufffle,1,Integers,1.200000014023317e-06
113,iterative_quicksort_shufffle,1,Integers,9.999999974752427e-07
114,iterative_quicksort_shufffle,1,Integers,1.099999991538425e-06
115,mergesort,1,Integers,0.48029399999998645
116,mergesort,1,Integers,1.900000000887303e-06
117,mergesort,1,Integers,7.000000152856956e-07
118,mergesort,1,Integers,5.999999928008037e-07
119,mergesort,1,Integers,5.999999928008037e-07
120,mergesort_combined,1,Integers,1.9629666999999813
121,mergesort_combined,1,Integers,2.8600000007372728e-05
122,mergesort_combined,1,Integers,1.1200000017197453e-05
123,mergesort_combined,1,Integers,9.900000009110954e-06
124,mergesort_combined,1,Integers,9.799999986626062e-06
125,python_sort,2,Ascending,1.100000000064938e-05
126,python_sort,2,Ascending,2.300000005561742e-06
127,python_sort,2,Ascending,2.1000000174353772e-06
128,python_sort,2,Ascending,1.9999999949504854e-06
129,python_sort,2,Ascending,1.6000000186977559e-06
130,numpy_sort,2,Ascending,8.40000001289809e-06
