,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,2.7785801
1,python_sort,1,Ascending,3.299999999484271e-06
2,python_sort,1,Ascending,1.7000000003264404e-06
3,python_sort,1,Ascending,1.600000000046009e-06
4,python_sort,1,Ascending,1.600000000046009e-06
5,numpy_sort,1,Ascending,3.2100000000312434e-05
6,numpy_sort,1,Ascending,3.9000000002786805e-06
7,numpy_sort,1,Ascending,2.3000000002326715e-06
8,numpy_sort,1,Ascending,2.000000000279556e-06
9,numpy_sort,1,Ascending,2.9999999995311555e-06
10,iterative_quicksort_shufffle,1,Ascending,0.8031060999999999
11,iterative_quicksort_shufffle,1,Ascending,3.7000000006059963e-06
12,iterative_quicksort_shufffle,1,Ascending,1.1999999998124622e-06
13,iterative_quicksort_shufffle,1,Ascending,1.000000000139778e-06
14,iterative_quicksort_shufffle,1,Ascending,1.0999999995320309e-06
15,mergesort,1,Ascending,0.4847551000000001
16,mergesort,1,Ascending,2.1000000005599873e-06
17,mergesort,1,Ascending,6.99999999298484e-07
18,mergesort,1,Ascending,5.999999999062311e-07
19,mergesort,1,Ascending,7.000000001866624e-07
20,mergesort_combined,1,Ascending,2.1199430999999995
21,mergesort_combined,1,Ascending,3.0600000000546856e-05
22,mergesort_combined,1,Ascending,1.089999999948077e-05
23,mergesort_combined,1,Ascending,9.800000000836917e-06
24,mergesort_combined,1,Ascending,9.600000000276054e-06
25,python_sort,1,Descending,1.0800000000088517e-05
26,python_sort,1,Descending,1.999999998503199e-06
27,python_sort,1,Descending,2.099999999671809e-06
28,python_sort,1,Descending,2.000000000279556e-06
29,python_sort,1,Descending,2.1000000014481657e-06
30,numpy_sort,1,Descending,8.400000000463592e-06
31,numpy_sort,1,Descending,1.7000000003264404e-06
32,numpy_sort,1,Descending,1.4999999997655777e-06
33,numpy_sort,1,Descending,1.4000000003733248e-06
34,numpy_sort,1,Descending,1.4999999997655777e-06
35,iterative_quicksort_shufffle,1,Descending,1.1399999999994748e-05
36,iterative_quicksort_shufffle,1,Descending,2.600000000185787e-06
37,iterative_quicksort_shufffle,1,Descending,2.099999999671809e-06
38,iterative_quicksort_shufffle,1,Descending,1.7999999997186933e-06
39,iterative_quicksort_shufffle,1,Descending,2.1999999990640617e-06
40,mergesort,1,Descending,1.3900000000788282e-05
41,mergesort,1,Descending,4.499999999296733e-06
42,mergesort,1,Descending,1.4999999997655777e-06
43,mergesort,1,Descending,1.5999999991578306e-06
44,mergesort,1,Descending,1.1000000004202093e-06
45,mergesort_combined,1,Descending,9.790000000009513e-05
46,mergesort_combined,1,Descending,6.489999999992335e-05
47,mergesort_combined,1,Descending,4.550000000058674e-05
48,mergesort_combined,1,Descending,2.9600000001295257e-05
49,mergesort_combined,1,Descending,1.2299999999854094e-05
50,python_sort,1,Random,2.4536747000000005
51,python_sort,1,Random,3.1000000006997652e-06
52,python_sort,1,Random,1.900000000887303e-06
53,python_sort,1,Random,1.6999999985500835e-06
54,python_sort,1,Random,1.5999999991578306e-06
55,numpy_sort,1,Random,2.190000000013015e-05
56,numpy_sort,1,Random,3.200000000092018e-06
57,numpy_sort,1,Random,1.5999999991578306e-06
58,numpy_sort,1,Random,1.300000000981072e-06
59,numpy_sort,1,Random,1.300000000981072e-06
60,iterative_quicksort_shufffle,1,Random,0.8334288999999995
61,iterative_quicksort_shufffle,1,Random,3.7999999999982492e-06
62,iterative_quicksort_shufffle,1,Random,1.300000000981072e-06
63,iterative_quicksort_shufffle,1,Random,1.0000000010279564e-06
64,iterative_quicksort_shufffle,1,Random,1.1000000004202093e-06
65,mergesort,1,Random,0.5351642000000005
66,mergesort,1,Random,2.3000000002326715e-06
67,mergesort,1,Random,6.99999999298484e-07
68,mergesort,1,Random,6.000000016825879e-07
69,mergesort,1,Random,6.99999999298484e-07
70,mergesort_combined,1,Random,2.1831848999999988
71,mergesort_combined,1,Random,3.090000000049997e-05
72,mergesort_combined,1,Random,1.0700000000696264e-05
73,mergesort_combined,1,Random,9.699999999668307e-06
74,mergesort_combined,1,Random,9.300000000322939e-06
75,python_sort,1,Structured,1.0800000000088517e-05
76,python_sort,1,Structured,2.099999999671809e-06
77,python_sort,1,Structured,1.8999999991109462e-06
78,python_sort,1,Structured,1.7000000003264404e-06
79,python_sort,1,Structured,1.7999999997186933e-06
80,numpy_sort,1,Structured,9.300000000322939e-06
81,numpy_sort,1,Structured,1.900000000887303e-06
82,numpy_sort,1,Structured,1.4000000003733248e-06
83,numpy_sort,1,Structured,1.6000000009341875e-06
84,numpy_sort,1,Structured,1.1999999998124622e-06
85,iterative_quicksort_shufffle,1,Structured,7.400000001211993e-06
86,iterative_quicksort_shufffle,1,Structured,1.299999999204715e-06
87,iterative_quicksort_shufffle,1,Structured,1.0000000010279564e-06
88,iterative_quicksort_shufffle,1,Structured,9.999999992515995e-07
89,iterative_quicksort_shufffle,1,Structured,8.999999998593466e-07
90,mergesort,1,Structured,4.699999999857596e-06
91,mergesort,1,Structured,6.99999999298484e-07
92,mergesort,1,Structured,5.999999999062311e-07
93,mergesort,1,Structured,5.999999999062311e-07
94,mergesort,1,Structured,7.000000010748408e-07
95,mergesort_combined,1,Structured,4.120000000007451e-05
96,mergesort_combined,1,Structured,1.1999999999900979e-05
97,mergesort_combined,1,Structured,9.800000000836917e-06
98,mergesort_combined,1,Structured,9.300000000322939e-06
99,mergesort_combined,1,Structured,9.399999999715192e-06
100,python_sort,1,Integers,2.3782485999999974
101,python_sort,1,Integers,3.499999998268777e-06
102,python_sort,1,Integers,2.099999999671809e-06
103,python_sort,1,Integers,1.999999998503199e-06
104,python_sort,1,Integers,1.7999999997186933e-06
105,numpy_sort,1,Integers,3.300000000194814e-05
106,numpy_sort,1,Integers,3.499999998268777e-06
107,numpy_sort,1,Integers,2.500000000793534e-06
108,numpy_sort,1,Integers,2.199999997287705e-06
109,numpy_sort,1,Integers,2.2000000008404186e-06
110,iterative_quicksort_shufffle,1,Integers,0.7419504000000003
111,iterative_quicksort_shufffle,1,Integers,4.699999998081239e-06
112,iterative_quicksort_shufffle,1,Integers,1.1999999998124622e-06
113,iterative_quicksort_shufffle,1,Integers,1.0999999986438525e-06
114,iterative_quicksort_shufffle,1,Integers,1.0999999986438525e-06
115,mergesort,1,Integers,0.5875123000000002
116,mergesort,1,Integers,1.999999998503199e-06
117,mergesort,1,Integers,7.999999986907369e-07
118,mergesort,1,Integers,5.999999999062311e-07
119,mergesort,1,Integers,6.999999975221272e-07
120,mergesort_combined,1,Integers,2.059297599999997
121,mergesort_combined,1,Integers,3.339999999951715e-05
122,mergesort_combined,1,Integers,1.5700000002283332e-05
123,mergesort_combined,1,Integers,1.4600000000086766e-05
124,mergesort_combined,1,Integers,1.4100000001349144e-05
125,python_sort,2,Ascending,1.1299999997049781e-05
126,python_sort,2,Ascending,2.199999997287705e-06
127,python_sort,2,Ascending,1.900000000887303e-06
128,python_sort,2,Ascending,1.8999999973345894e-06
129,python_sort,2,Ascending,1.7999999997186933e-06
130,numpy_sort,2,Ascending,1.0199999998405929e-05
131,numpy_sort,2,Ascending,2.099999999671809e-06
132,numpy_sort,2,Ascending,1.6000000009341875e-06
133,numpy_sort,2,Ascending,1.5999999973814738e-06
