,Algorithm,2^N,TypeArray,Time
0,python_sort,1,Ascending,1.1300000551273115e-05
1,python_sort,1,Ascending,2.499999027349986e-06
2,python_sort,1,Ascending,1.7999991541728377e-06
3,python_sort,1,Ascending,1.999998858082108e-06
4,python_sort,1,Ascending,1.8000009731622413e-06
5,numpy_sort,1,Ascending,9.20000093174167e-06
6,numpy_sort,1,Ascending,1.8999999156221747e-06
7,numpy_sort,1,Ascending,1.5000005078036338e-06
8,numpy_sort,1,Ascending,1.4000015653437003e-06
9,numpy_sort,1,Ascending,1.2999989849049598e-06
10,iterative_quicksort_shufffle,1,Ascending,7.99999907030724e-06
11,iterative_quicksort_shufffle,1,Ascending,1.2000000424450263e-06
12,iterative_quicksort_shufffle,1,Ascending,1.0000003385357559e-06
13,iterative_quicksort_shufffle,1,Ascending,9.000013960758224e-07
14,iterative_quicksort_shufffle,1,Ascending,1.2000000424450263e-06
15,mergesort,1,Ascending,3.6999990697950125e-06
16,mergesort,1,Ascending,6.999998731771484e-07
17,mergesort,1,Ascending,1.0000003385357559e-06
18,mergesort,1,Ascending,5.999991117278114e-07
19,mergesort,1,Ascending,6.000009307172149e-07
20,mergesort_combined,1,Ascending,3.8500000300700776e-05
21,mergesort_combined,1,Ascending,1.2000000424450263e-05
22,mergesort_combined,1,Ascending,9.800000043469481e-06
23,mergesort_combined,1,Ascending,9.500001397100277e-06
24,mergesort_combined,1,Ascending,9.399998816661537e-06
25,python_sort,1,Descending,1.4799999917158857e-05
26,python_sort,1,Descending,3.9000005926936865e-06
27,python_sort,1,Descending,3.0000010156072676e-06
28,python_sort,1,Descending,2.999999196617864e-06
29,python_sort,1,Descending,2.3000011424301192e-06
30,numpy_sort,1,Descending,1.089999932446517e-05
31,numpy_sort,1,Descending,2.9000002541579306e-06
32,numpy_sort,1,Descending,2.0000006770715117e-06
33,numpy_sort,1,Descending,2.200000380980782e-06
34,numpy_sort,1,Descending,2.0000006770715117e-06
35,iterative_quicksort_shufffle,1,Descending,1.5199999324977398e-05
36,iterative_quicksort_shufffle,1,Descending,3.0000010156072676e-06
37,iterative_quicksort_shufffle,1,Descending,2.099999619531445e-06
38,iterative_quicksort_shufffle,1,Descending,1.8999999156221747e-06
39,iterative_quicksort_shufffle,1,Descending,2.200000380980782e-06
40,mergesort,1,Descending,7.099999493220821e-06
41,mergesort,1,Descending,8.999995770864189e-07
42,mergesort,1,Descending,6.999998731771484e-07
43,mergesort,1,Descending,6.999998731771484e-07
44,mergesort,1,Descending,6.999998731771484e-07
45,mergesort_combined,1,Descending,4.5700000555370934e-05
46,mergesort_combined,1,Descending,1.2000000424450263e-05
47,mergesort_combined,1,Descending,9.999999747378752e-06
48,mergesort_combined,1,Descending,9.60000033956021e-06
49,mergesort_combined,1,Descending,9.399998816661537e-06
50,python_sort,1,Random,1.179999890155159e-05
51,python_sort,1,Random,2.1000014385208488e-06
52,python_sort,1,Random,1.999998858082108e-06
53,python_sort,1,Random,1.7000002117129043e-06
54,python_sort,1,Random,1.8000009731622413e-06
55,numpy_sort,1,Random,1.1300000551273115e-05
56,numpy_sort,1,Random,1.7999991541728377e-06
57,numpy_sort,1,Random,1.3999997463542968e-06
58,numpy_sort,1,Random,1.7000002117129043e-06
59,numpy_sort,1,Random,1.3999997463542968e-06
60,iterative_quicksort_shufffle,1,Random,8.900000466383062e-06
61,iterative_quicksort_shufffle,1,Random,1.3999997463542968e-06
62,iterative_quicksort_shufffle,1,Random,1.0999992809956893e-06
63,iterative_quicksort_shufffle,1,Random,1.4000015653437003e-06
64,iterative_quicksort_shufffle,1,Random,1.2999989849049598e-06
65,mergesort,1,Random,4.399998942972161e-06
66,mergesort,1,Random,8.000006346264854e-07
67,mergesort,1,Random,6.999998731771484e-07
68,mergesort,1,Random,6.000009307172149e-07
69,mergesort,1,Random,6.999998731771484e-07
70,mergesort_combined,1,Random,4.040000021632295e-05
71,mergesort_combined,1,Random,1.1500000255182385e-05
72,mergesort_combined,1,Random,9.299999874201603e-06
73,mergesort_combined,1,Random,9.20000093174167e-06
74,mergesort_combined,1,Random,9.299999874201603e-06
75,python_sort,1,Structured,1.2900000001536682e-05
76,python_sort,1,Structured,3.600000127335079e-06
77,python_sort,1,Structured,3.0000010156072676e-06
78,python_sort,1,Structured,2.9000002541579306e-06
79,python_sort,1,Structured,2.4000000848900527e-06
80,numpy_sort,1,Structured,1.0800000382005237e-05
81,numpy_sort,1,Structured,3.099999958067201e-06
82,numpy_sort,1,Structured,2.4000000848900527e-06
83,numpy_sort,1,Structured,1.4999986888142303e-06
84,numpy_sort,1,Structured,1.5999994502635673e-06
85,iterative_quicksort_shufffle,1,Structured,1.0199999451288022e-05
86,iterative_quicksort_shufffle,1,Structured,1.3000008038943633e-06
87,iterative_quicksort_shufffle,1,Structured,1.3999997463542968e-06
88,iterative_quicksort_shufffle,1,Structured,1.5000005078036338e-06
89,iterative_quicksort_shufffle,1,Structured,1.4000015653437003e-06
90,mergesort,1,Structured,1.1699999959091656e-05
91,mergesort,1,Structured,2.200000380980782e-06
92,mergesort,1,Structured,1.4000015653437003e-06
93,mergesort,1,Structured,8.999995770864189e-07
94,mergesort,1,Structured,7.999988156370819e-07
95,mergesort_combined,1,Structured,4.769999941345304e-05
96,mergesort_combined,1,Structured,1.2499998774728738e-05
97,mergesort_combined,1,Structured,1.0300000212737359e-05
98,mergesort_combined,1,Structured,9.900000804918818e-06
99,mergesort_combined,1,Structured,9.800000043469481e-06
100,python_sort,1,Integers,1.1400001312722452e-05
101,python_sort,1,Integers,3.6999990697950125e-06
102,python_sort,1,Integers,2.7999994927085936e-06
103,python_sort,1,Integers,2.9000002541579306e-06
104,python_sort,1,Integers,1.8999999156221747e-06
105,numpy_sort,1,Integers,9.700001101009548e-06
106,numpy_sort,1,Integers,2.999999196617864e-06
107,numpy_sort,1,Integers,2.499999027349986e-06
108,numpy_sort,1,Integers,1.8999999156221747e-06
